binding_energy_eV,intensity,background,co2_peak,co3_peak,fitted
7.778949999999999818e+02,4.161039999999999850e+02,3.393570249292255880e+01,4.113563945112958891e+02,1.131660005673156515e-04,4.452922101702190503e+02
7.779950000000000045e+02,4.768809999999999718e+02,3.408538856292864949e+01,4.700807670571529684e+02,2.274734998364592593e-04,5.041663830935814303e+02
7.780950000000000273e+02,5.440040000000000191e+02,3.403112709369871425e+01,5.325982714998292522e+02,4.490961735140786590e-04,5.666298476897014780e+02
7.781950000000000500e+02,6.167440000000000282e+02,3.372693778585074398e+01,5.982739074949881797e+02,8.708464845283478807e-04,6.320017161273234478e+02
7.782949999999999591e+02,6.939479999999999791e+02,3.313909721393545027e+01,6.663055212293194245e+02,1.658584316740690590e-03,6.994462770275715684e+02
7.783949999999999818e+02,7.739550000000000409e+02,3.224566432641832847e+01,7.357322638947761106e+02,3.102610151147594010e-03,7.679810308313456062e+02
7.784950000000000045e+02,8.546269999999999527e+02,3.104020693904923789e+01,8.054511961892346790e+02,5.700468719431818140e-03,8.364971035970032744e+02
7.785950000000000273e+02,9.334320000000000164e+02,2.953376893576532680e+01,8.742420668126829923e+02,1.028697366068266790e-02,9.037861227221089848e+02
7.786950000000000500e+02,1.007669999999999959e+03,2.775743538889854278e+01,9.407997842830180844e+02,1.823301091581930669e-02,9.685754526828324060e+02
7.787949999999999591e+02,1.074759999999999991e+03,2.576148846304150908e+01,1.003773574336552883e+03,3.174116475142355759e-02,1.029566803964345809e+03
7.788949999999999818e+02,1.132609999999999900e+03,2.361270712700172325e+01,1.061811309992702945e+03,5.427265026424676897e-02,1.085478289769968796e+03
7.789950000000000045e+02,1.179730000000000018e+03,2.138419328296486199e+01,1.113607060198214185e+03,9.114501135522155850e-02,1.135082398492534139e+03
7.790950000000000273e+02,1.215349999999999909e+03,1.914808038556348180e+01,1.157949565910961610e+03,1.503413619355374320e-01,1.177247987658460488e+03
7.791950000000000500e+02,1.239349999999999909e+03,1.696795052112430824e+01,1.193769153508943873e+03,2.435666148051303936e-01,1.210980670644873271e+03
7.792949999999999591e+02,1.252109999999999900e+03,1.489418846545731334e+01,1.220180558706839747e+03,3.875705268261394054e-01,1.235462317699123105e+03
7.793949999999999818e+02,1.254240000000000009e+03,1.296141557857415982e+01,1.236519271185006119e+03,6.057276932270990732e-01,1.250086414456807461e+03
