frame_index,frame_label,previous_frame_label,coordination_event_count,formed_count,broken_count,pair
1653,set_000__step_00082700,set_000__step_00082650,57,27,30,O-Zn
1654,set_000__step_00082750,set_000__step_00082700,54,27,27,O-Zn
1655,set_000__step_00082800,set_000__step_00082750,55,29,26,O-Zn
1656,set_000__step_00082850,set_000__step_00082800,58,28,30,O-Zn
1657,set_000__step_00082900,set_000__step_00082850,49,25,24,O-Zn
1658,set_000__step_00082950,set_000__step_00082900,51,29,22,O-Zn
1659,set_000__step_00083000,set_000__step_00082950,52,26,26,O-Zn
1660,set_000__step_00083050,set_000__step_00083000,49,20,29,O-Zn
1661,set_000__step_00083100,set_000__step_00083050,49,31,18,O-Zn
1662,set_000__step_00083150,set_000__step_00083100,49,23,26,O-Zn
1663,set_000__step_00083200,set_000__step_00083150,52,19,33,O-Zn
1664,set_000__step_00083250,set_000__step_00083200,52,22,30,O-Zn
1665,set_000__step_00083300,set_000__step_00083250,58,37,21,O-Zn
1666,set_000__step_00083350,set_000__step_00083300,60,30,30,O-Zn
1667,set_000__step_00083400,set_000__step_00083350,59,27,32,O-Zn
1668,set_000__step_00083450,set_000__step_00083400,55,28,27,O-Zn
1669,set_000__step_00083500,set_000__step_00083450,55,26,29,O-Zn
1670,set_000__step_00083550,set_000__step_00083500,62,38,24,O-Zn
1671,set_000__step_00083600,set_000__step_00083550,44,21,23,O-Zn
1672,set_000__step_00083650,set_000__step_00083600,53,27,26,O-Zn
1673,set_000__step_00083700,set_000__step_00083650,50,20,30,O-Zn
1674,set_000__step_00083750,set_000__step_00083700,60,32,28,O-Zn
1675,set_000__step_00083800,set_000__step_00083750,50,23,27,O-Zn
1676,set_000__step_00083850,set_000__step_00083800,54,26,28,O-Zn
1677,set_000__step_00083900,set_000__step_00083850,55,30,25,O-Zn
1678,set_000__step_00083950,set_000__step_00083900,54,25,29,O-Zn
1679,set_000__step_00084000,set_000__step_00083950,58,30,28,O-Zn
1680,set_000__step_00084050,set_000__step_00084000,55,30,25,O-Zn
1681,set_000__step_00084100,set_000__step_00084050,52,26,26,O-Zn
1682,set_000__step_00084150,set_000__step_00084100,54,27,27,O-Zn
1683,set_000__step_00084200,set_000__step_00084150,48,20,28,O-Zn
1684,set_000__step_00084250,set_000__step_00084200,67,34,33,O-Zn
1685,set_000__step_00084300,set_000__step_00084250,53,27,26,O-Zn
1686,set_000__step_00084350,set_000__step_00084300,57,29,28,O-Zn
1687,set_000__step_00084400,set_000__step_00084350,50,25,25,O-Zn
1688,set_000__step_00084450,set_000__step_00084400,51,30,21,O-Zn
1689,set_000__step_00084500,set_000__step_00084450,48,22,26,O-Zn
1690,set_000__step_00084550,set_000__step_00084500,49,27,22,O-Zn
1691,set_000__step_00084600,set_000__step_00084550,43,19,24,O-Zn
1692,set_000__step_00084650,set_000__step_00084600,47,20,27,O-Zn
1693,set_000__step_00084700,set_000__step_00084650,48,27,21,O-Zn
1694,set_000__step_00084750,set_000__step_00084700,54,24,30,O-Zn
1695,set_000__step_00084800,set_000__step_00084750,63,27,36,O-Zn
1696,set_000__step_00084850,set_000__step_00084800,53,32,21,O-Zn
1697,set_000__step_00084900,set_000__step_00084850,55,31,24,O-Zn
1698,set_000__step_00084950,set_000__step_00084900,62,24,38,O-Zn
1699,set_000__step_00085000,set_000__step_00084950,57,34,23,O-Zn
1700,set_000__step_00085050,set_000__step_00085000,54,26,28,O-Zn
1701,set_000__step_00085100,set_000__step_00085050,51,26,25,O-Zn
