frame_index,frame_label,previous_frame_label,interface_type,event_type,atom_i,atom_j,group_i,group_j,symbol_i,symbol_j,pair,distance_broken,distance_formed
40,set_000__step_00020050,set_000__step_00019550,water-surface,broken,273,1021,surface,water,Zn,O,O-Zn,1.990875,
40,set_000__step_00020050,set_000__step_00019550,water-surface,broken,693,1012,surface,water,Zn,O,O-Zn,2.147043,
40,set_000__step_00020050,set_000__step_00019550,water-surface,broken,879,1038,surface,water,O,H,H-O,1.239186,
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,33,1027,surface,water,Zn,O,O-Zn,,1.927033
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,254,998,surface,water,O,H,H-O,,1.138464
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,273,1021,surface,water,Zn,O,O-Zn,,1.811904
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,279,1023,surface,water,O,H,H-O,,1.012401
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,453,1015,surface,water,Zn,O,O-Zn,,1.960629
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,693,1012,surface,water,Zn,O,O-Zn,,2.143568
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,719,1029,surface,water,O,H,H-O,,0.966650
41,set_000__step_00020550,set_000__step_00020050,water-surface,formed,868,994,surface,water,Zn,O,O-Zn,,2.006593
41,set_000__step_00020550,set_000__step_00020050,water-surface,broken,13,988,surface,water,Zn,O,O-Zn,1.898355,
41,set_000__step_00020550,set_000__step_00020050,water-surface,broken,259,1034,surface,water,O,H,H-O,1.088304,
41,set_000__step_00020550,set_000__step_00020050,water-surface,broken,699,989,surface,water,O,H,H-O,1.058088,
41,set_000__step_00020550,set_000__step_00020050,water-surface,broken,839,1053,surface,water,O,H,H-O,1.076225,
42,set_000__step_00021050,set_000__step_00020550,water-surface,formed,13,988,surface,water,Zn,O,O-Zn,,2.039066
42,set_000__step_00021050,set_000__step_00020550,water-surface,broken,254,998,surface,water,O,H,H-O,1.138464,
42,set_000__step_00021050,set_000__step_00020550,water-surface,broken,868,994,surface,water,Zn,O,O-Zn,2.006593,
43,set_000__step_00021550,set_000__step_00021050,water-surface,formed,659,1014,surface,water,O,H,H-O,,1.216532
43,set_000__step_00021550,set_000__step_00021050,water-surface,formed,834,996,surface,water,O,H,H-O,,0.965262
43,set_000__step_00021550,set_000__step_00021050,water-surface,formed,868,994,surface,water,Zn,O,O-Zn,,2.036747
43,set_000__step_00021550,set_000__step_00021050,water-surface,formed,879,1038,surface,water,O,H,H-O,,1.126889
43,set_000__step_00021550,set_000__step_00021050,water-surface,broken,354,1043,surface,water,O,H,H-O,0.995268,
43,set_000__step_00021550,set_000__step_00021050,water-surface,broken,873,1051,surface,water,Zn,O,O-Zn,2.133437,
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.000576
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,354,1043,surface,water,O,H,H-O,,1.022451
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,419,1016,surface,water,O,H,H-O,,1.241293
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,873,1051,surface,water,Zn,O,O-Zn,,1.982370
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,933,991,surface,water,Zn,O,O-Zn,,2.058507
44,set_000__step_00022050,set_000__step_00021550,water-surface,formed,939,992,surface,water,O,H,H-O,,1.025397
44,set_000__step_00022050,set_000__step_00021550,water-surface,broken,659,1014,surface,water,O,H,H-O,1.216532,
44,set_000__step_00022050,set_000__step_00021550,water-surface,broken,768,1006,surface,water,Zn,O,O-Zn,2.075006,
44,set_000__step_00022050,set_000__step_00021550,water-surface,broken,834,996,surface,water,O,H,H-O,0.965262,
44,set_000__step_00022050,set_000__step_00021550,water-surface,broken,868,994,surface,water,Zn,O,O-Zn,2.036747,
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,59,1050,surface,water,O,H,H-O,,1.076482
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,68,1009,surface,water,Zn,O,O-Zn,,2.116264
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,253,1021,surface,water,Zn,O,O-Zn,,2.147390
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,254,998,surface,water,O,H,H-O,,1.042466
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,699,989,surface,water,O,H,H-O,,0.966892
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,768,1006,surface,water,Zn,O,O-Zn,,2.037297
45,set_000__step_00022550,set_000__step_00022050,water-surface,formed,868,994,surface,water,Zn,O,O-Zn,,2.074581
45,set_000__step_00022550,set_000__step_00022050,water-surface,broken,368,1045,surface,water,Zn,O,O-Zn,2.064096,
45,set_000__step_00022550,set_000__step_00022050,water-surface,broken,419,1016,surface,water,O,H,H-O,1.241293,
45,set_000__step_00022550,set_000__step_00022050,water-surface,broken,693,1012,surface,water,Zn,O,O-Zn,1.953217,
45,set_000__step_00022550,set_000__step_00022050,water-surface,broken,719,1029,surface,water,O,H,H-O,1.042896,
45,set_000__step_00022550,set_000__step_00022050,organic-surface,broken,773,969,surface,organic,Zn,O,O-Zn,2.140396,
46,set_000__step_00023050,set_000__step_00022550,water-surface,formed,368,1045,surface,water,Zn,O,O-Zn,,2.007090
46,set_000__step_00023050,set_000__step_00022550,water-surface,formed,659,1014,surface,water,O,H,H-O,,0.964860
46,set_000__step_00023050,set_000__step_00022550,water-surface,formed,693,1012,surface,water,Zn,O,O-Zn,,2.023685
46,set_000__step_00023050,set_000__step_00022550,organic-surface,formed,773,969,surface,organic,Zn,O,O-Zn,,2.007770
46,set_000__step_00023050,set_000__step_00022550,water-surface,formed,834,996,surface,water,O,H,H-O,,1.005543
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,254,998,surface,water,O,H,H-O,1.042466,
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,259,1034,surface,water,O,H,H-O,0.963640,
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,288,997,surface,water,Zn,O,O-Zn,1.977830,
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,293,1033,surface,water,Zn,O,O-Zn,1.965154,
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,873,1051,surface,water,Zn,O,O-Zn,2.055584,
46,set_000__step_00023050,set_000__step_00022550,water-surface,broken,879,1038,surface,water,O,H,H-O,1.050879,
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,254,998,surface,water,O,H,H-O,,1.074292
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,259,1034,surface,water,O,H,H-O,,1.040577
47,set_000__step_00023550,set_000__step_00023050,water-surface,formed,288,997,surface,water,Zn,O,O-Zn,,2.007368
